DEBUG 2024-06-25 09:31:17,934 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\indexes\range.py first seen with mtime 1719223701.0882418
DEBUG 2024-06-25 09:31:17,935 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\numpy\_core\_add_newdocs.py first seen with mtime 1719223682.6848905
DEBUG 2024-06-25 09:31:17,935 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\db\models\query.py first seen with mtime 1719156104.4180832
DEBUG 2024-06-25 09:31:17,936 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\_config\__init__.py first seen with mtime 1719223702.7283626
DEBUG 2024-06-25 09:31:17,936 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\util\hashing.py first seen with mtime 1719223701.1412559
DEBUG 2024-06-25 09:31:17,936 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\contrib\contenttypes\checks.py first seen with mtime 1719156103.040299
DEBUG 2024-06-25 09:31:17,937 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1719156103.8696728
DEBUG 2024-06-25 09:31:17,937 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\_libs\arrays.cp312-win_amd64.pyd first seen with mtime 1719223702.747491
DEBUG 2024-06-25 09:31:17,938 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1719156104.3712206
DEBUG 2024-06-25 09:31:17,938 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\io\json\__init__.py first seen with mtime 1719223701.2105494
DEBUG 2024-06-25 09:31:17,939 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\dateutil\parser\isoparser.py first seen with mtime 1719223700.4949088
DEBUG 2024-06-25 09:31:17,940 autoreload File C:\Python312\DLLs\_hashlib.pyd first seen with mtime 1712649062.0
DEBUG 2024-06-25 09:31:17,941 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1719156104.4180832
DEBUG 2024-06-25 09:31:17,941 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\methods\selectn.py first seen with mtime 1719223701.1014361
DEBUG 2024-06-25 09:31:17,941 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1719156104.3366663
DEBUG 2024-06-25 09:31:17,941 autoreload File D:\Learning\Projects\honda - excel\frontend\apps.py first seen with mtime 1718380047.0795946
DEBUG 2024-06-25 09:31:17,941 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\PIL\_typing.py first seen with mtime 1718368141.3324869
DEBUG 2024-06-25 09:31:17,941 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\strings\__init__.py first seen with mtime 1719223701.1348162
DEBUG 2024-06-25 09:31:17,941 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\_libs\hashtable.cp312-win_amd64.pyd first seen with mtime 1719223702.7871976
DEBUG 2024-06-25 09:31:17,941 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\indexes\period.py first seen with mtime 1719223701.0862463
DEBUG 2024-06-25 09:31:17,941 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\forms\__init__.py first seen with mtime 1719156104.4342098
DEBUG 2024-06-25 09:31:17,941 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1719156104.3712206
DEBUG 2024-06-25 09:31:17,941 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\numpy\lib\_polynomial_impl.py first seen with mtime 1719223682.413207
DEBUG 2024-06-25 09:31:17,941 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1719156104.5122058
DEBUG 2024-06-25 09:31:17,948 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1719156104.4180832
DEBUG 2024-06-25 09:31:17,948 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1719156102.773163
DEBUG 2024-06-25 09:31:17,949 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\numpy\_core\_methods.py first seen with mtime 1719223682.7005143
DEBUG 2024-06-25 09:31:17,949 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1719156104.3712206
DEBUG 2024-06-25 09:31:17,949 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\array_algos\replace.py first seen with mtime 1719223701.0276022
DEBUG 2024-06-25 09:31:17,950 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\sqlparse\engine\grouping.py first seen with mtime 1718363267.329082
DEBUG 2024-06-25 09:31:17,950 autoreload File D:\Learning\Projects\honda - excel\frontend\urls.py first seen with mtime 1719220815.951532
DEBUG 2024-06-25 09:31:17,951 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\api\extensions\__init__.py first seen with mtime 1719223700.9360619
DEBUG 2024-06-25 09:31:17,952 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\array_algos\masked_reductions.py first seen with mtime 1719223701.0226157
DEBUG 2024-06-25 09:31:17,952 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\_libs\tslibs\conversion.cp312-win_amd64.pyd first seen with mtime 1719223702.906164
DEBUG 2024-06-25 09:31:17,952 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\core\signals.py first seen with mtime 1719156104.3299887
DEBUG 2024-06-25 09:31:17,953 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\arrays\_mixins.py first seen with mtime 1719223701.0025792
DEBUG 2024-06-25 09:31:17,953 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\_libs\pandas_datetime.cp312-win_amd64.pyd first seen with mtime 1719223702.8574097
DEBUG 2024-06-25 09:31:17,954 autoreload File C:\Python312\Lib\asyncio\log.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,954 autoreload File C:\Python312\Lib\email\header.py first seen with mtime 1712649018.0
DEBUG 2024-06-25 09:31:17,954 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\ops\invalid.py first seen with mtime 1719223701.1014361
DEBUG 2024-06-25 09:31:17,954 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\array_algos\datetimelike_accumulations.py first seen with mtime 1719223701.0206218
DEBUG 2024-06-25 09:31:17,959 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1719156102.1992056
DEBUG 2024-06-25 09:31:17,960 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1719156102.4197397
DEBUG 2024-06-25 09:31:17,961 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1719156104.3396568
DEBUG 2024-06-25 09:31:17,961 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1719156104.3405886
DEBUG 2024-06-25 09:31:17,961 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\utils\timezone.py first seen with mtime 1719156104.5434499
DEBUG 2024-06-25 09:31:17,961 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1719156104.55907
DEBUG 2024-06-25 09:31:17,961 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\core\groupby\__init__.py first seen with mtime 1719223701.0694897
DEBUG 2024-06-25 09:31:17,961 autoreload File D:\Learning\Projects\honda - excel\.venv\Lib\site-packages\pandas\compat\__init__.py first seen with mtime 1719223700.9492972
